unit_code,dept_code,name,matched_dept_name,confidence
204-6,CL,Product Complaint / Claim,,manual-guess
910-1,UT,พาวเวอร์แพลนท์-บอยเลอร์,,manual-guess
910-2,UT,พาวเวอร์แพลนท์-ยูทิลิตี้,,manual-guess
208-0,MD,Mold Prodction/Repair,,manual-guess
208-1,MD,Mold Prodction/Repair / CNC,,manual-guess
211-1-3,MAPM,ซ่อมบำรุง PM,,manual-guess
912-1,RD,R&D Compound & Components Process / น.RM/Compound Lab Test,,manual-guess
912-2,RD,R&D Compound & Components Process / น.Compounder Mixin,,manual-guess
912-3,RD,R&D Compound & Components Process / น.Components Line Proc,,manual-guess
919-1,DD,R&D Product Design & Development / น.Plant Technical Servi,,manual-guess
919-2,DD,R&D Product Design & Development / น.Field & CAE,,manual-guess
919-3,DD,R&D Product Design & Development / น.Product Structure Des,,manual-guess
920,BL,Building Department,,manual-guess
SF06-3,QAFST,QA Outgoing,,manual-guess
210-1,MD,Mold Prodction/Repair / ผลิตปลอกเหล็ก,ผลิต,manual-fix
215-1,PD2,ผลิตยางต้น-ผลิตล้อยาง PU (พ่นปลอกเหล็ก),ผลิต,manual-fix
204-1,QA,ตรวจสอบคุณภาพวัตถุดิบ,ตรวจสอบคุณภาพ,contains
204-5,QA,ตรวจสอบคุณภาพการผสมยาง,ตรวจสอบคุณภาพ,contains
208-2,MD,Mold Prodction/Repair / ผลิตแม่พิมพ์,แม่พิมพ์,contains
916,HR,ทรัพยากรบุคคลและธุรการ/ความปลอดภัย,ทรัพยากรบุคคลและธุรการ,contains
903-1,HR,ทรัพยากรบุคคลและธุรการ/การบุุคคล,ทรัพยากรบุคคลและธุรการ,contains
204-4-1,QAPD,ตรวจสอบคุุณภาพยางตัน,ตรวจสอบคุณภาพยางตัน,fuzzy(0.97)
211-1-1,MACH,ซ่อมบำรุง CM (เครื่องกล),ซ่อมบำรุงเครื่องกล,fuzzy(0.86)
211-1-2,MAEL,ซ่อมบำรุง CM (ไฟฟ้า),ซ่อมบำรุงไฟฟ้า,fuzzy(0.82)
SF06-1,QCFST,ควบคุุมคุณภาพยางตีนตะขาบ,ควบคุมคุณภาพยางตีนตะขาบ,fuzzy(0.98)
102,PD1,ผสมยาง-เตรียมวัตถุดิบ,ผสมยาง,prefix
103,PD1,ผสมยาง-ผสมยาง,ผสมยาง,prefix
201-1,PD2,ผลิตยางตัน-สร้างยางตัน,ผลิตยางตัน,prefix
202-1,PD2,ผลิตยางตัน-อบยางตัน,ผลิตยางตัน,prefix
203,PD2,ผลิตยางตัน-ผลิตล้อยาง PU,ผลิตยางตัน,prefix
209,PD2,ผลิตยางตัน-ปฏิบัติการแม่พิมพ์,ผลิตยางตัน,prefix
212-1,PD2,ผลิตยางตัน-ตัดแต่ง/ซ่อมยางตัน,ผลิตยางตัน,prefix
214-1,PD2,ผลิตยางตัน-ตัดแต่ง/ซ่อมยางตัน(ขูดโครง),ผลิตยางตัน,prefix
SF07,FST,ผลิตยางตีนตะขาบ-เตรียมเมทัลพีส,ผลิตยางตีนตะขาบ,prefix
SF08,FST,ผลิตยางตีนตะขาบ-เตรียมชิ้นส่วน,ผลิตยางตีนตะขาบ,prefix
SF09,FST,ผลิตยางตีนตะขาบ-เตรียมลวดฉาบ,ผลิตยางตีนตะขาบ,prefix
SF10,FST,ผลิตยางตีนตะขาบ-อบยาง,ผลิตยางตีนตะขาบ,prefix
SF15,FST,ผลิตยางตีนตะขาบ-ปฏิบัติการแม่พิมพ์,ผลิตยางตีนตะขาบ,prefix
204-2,CAL,สอบเทียบ,สอบเทียบ,exact
204-3-1,QCPD,ควบคุมคุณภาพยางตัน,ควบคุมคุณภาพยางตัน,exact
101-1-1,MAT,คลังวัตถุดิบ,คลังวัตถุดิบ,exact
202,PD,ผลิต,ผลิต,exact
206-1,WH,คลังสินค้า,คลังสินค้า,exact
211-2,MAST,ระบบและงานเทคนิควิศวกรรม,ระบบและงานเทคนิควิศวกรรม,exact
904-1,PN,วางแผนการผลิต,วางแผนการผลิต,exact
905-1,ST,คลังพัสดุ,คลังพัสดุ,exact
908,AMS,บริการยานยนต์,บริการยานยนต์,exact
915-1,PJ,โครงการ,โครงการ,exact
917-1,AU,Automation,Automation,exact
902,ISO,บริหารระบบคุณภาพ,บริหารระบบคุณภาพ,exact
906,ACC,การเงินและบัญชี,การเงินและบัญชี,exact
909,IN,ขายในประเทศ,ขายในประเทศ,exact
914,IT,เทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,exact
SF06-2,QAFST,ตรวจสอบคุณภาพยางตีนตะขาบ,ตรวจสอบคุณภาพยางตีนตะขาบ,exact
